[0.000000] (-) TimerEvent: {}
[0.000095] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000118] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000133] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000145] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000158] (-) JobUnselected: {'identifier': 'control_toolbox'}
[0.000170] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000183] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000196] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000208] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000221] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000233] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000246] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000258] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.000271] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000283] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000296] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000308] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.000321] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000333] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000346] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.000359] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.000372] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000384] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000397] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000410] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000422] (-) JobUnselected: {'identifier': 'kinematics_interface'}
[0.000435] (-) JobUnselected: {'identifier': 'kinematics_interface_kdl'}
[0.000447] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000460] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000473] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000485] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000498] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000511] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000528] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000570] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.000585] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.000598] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000611] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000624] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000637] (-) JobUnselected: {'identifier': 'pymoveit2'}
[0.000650] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000663] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000675] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000688] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000700] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000713] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000726] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000738] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000751] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000763] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.000776] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.000789] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000804] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.000820] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.000835] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.000850] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000865] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000886] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000917] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.000931] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.000944] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.000957] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000969] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000982] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.000995] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.001007] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.001020] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.001032] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.001045] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.001057] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.001070] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.001083] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.001095] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.001108] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.001120] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.001133] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.001146] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.001164] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.001177] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.001190] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.001203] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.001215] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001228] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001241] (-) JobUnselected: {'identifier': 'serial'}
[0.001253] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001266] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.001278] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001291] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001303] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001316] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001330] (lab_quaternion) JobQueued: {'identifier': 'lab_quaternion', 'dependencies': OrderedDict()}
[0.001346] (lab_quaternion) JobStarted: {'identifier': 'lab_quaternion'}
[0.099250] (-) TimerEvent: {}
[0.199499] (-) TimerEvent: {}
[0.299763] (-) TimerEvent: {}
[0.400018] (-) TimerEvent: {}
[0.500264] (-) TimerEvent: {}
[0.600516] (-) TimerEvent: {}
[0.700770] (-) TimerEvent: {}
