[0.000000] (-) TimerEvent: {}
[0.000094] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.000115] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.000130] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.000144] (-) JobUnselected: {'identifier': 'control_msgs'}
[0.000158] (-) JobUnselected: {'identifier': 'control_toolbox'}
[0.000171] (-) JobUnselected: {'identifier': 'controller_interface'}
[0.000184] (-) JobUnselected: {'identifier': 'controller_manager'}
[0.000196] (-) JobUnselected: {'identifier': 'controller_manager_msgs'}
[0.000209] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.000221] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.000234] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.000246] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.000259] (-) JobUnselected: {'identifier': 'gazebo_ros2_control'}
[0.000271] (-) JobUnselected: {'identifier': 'gazebo_ros2_control_demos'}
[0.000284] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.000296] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.000308] (-) JobUnselected: {'identifier': 'gz_ros2_control_tests'}
[0.000320] (-) JobUnselected: {'identifier': 'hardware_interface'}
[0.000332] (-) JobUnselected: {'identifier': 'hardware_interface_testing'}
[0.000345] (-) JobUnselected: {'identifier': 'ign_ros2_control'}
[0.000357] (-) JobUnselected: {'identifier': 'ign_ros2_control_demos'}
[0.000369] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.000414] (-) JobUnselected: {'identifier': 'joint_limits'}
[0.000427] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.000440] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.000452] (-) JobUnselected: {'identifier': 'kinematics_interface'}
[0.000464] (-) JobUnselected: {'identifier': 'kinematics_interface_kdl'}
[0.000476] (-) JobUnselected: {'identifier': 'kinova_gen3_6dof_robotiq_2f_85_moveit_config'}
[0.000489] (-) JobUnselected: {'identifier': 'kinova_gen3_7dof_robotiq_2f_85_moveit_config'}
[0.000501] (-) JobUnselected: {'identifier': 'kinova_gen3_lite_moveit_config'}
[0.000513] (-) JobUnselected: {'identifier': 'kortex_api'}
[0.000525] (-) JobUnselected: {'identifier': 'kortex_bringup'}
[0.000537] (-) JobUnselected: {'identifier': 'kortex_description'}
[0.000549] (-) JobUnselected: {'identifier': 'kortex_driver'}
[0.000561] (-) JobUnselected: {'identifier': 'picknik_reset_fault_controller'}
[0.000573] (-) JobUnselected: {'identifier': 'picknik_twist_controller'}
[0.000585] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.000597] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.000609] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.000621] (-) JobUnselected: {'identifier': 'pymoveit2'}
[0.000633] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.000645] (-) JobUnselected: {'identifier': 'realtime_tools'}
[0.000658] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.000670] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.000682] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.000695] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.000707] (-) JobUnselected: {'identifier': 'ros2_control'}
[0.000719] (-) JobUnselected: {'identifier': 'ros2_control_demo_description'}
[0.000731] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_1'}
[0.000744] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_10'}
[0.000756] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_11'}
[0.000768] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_12'}
[0.000780] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_13'}
[0.000793] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_14'}
[0.000805] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_15'}
[0.000817] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_2'}
[0.000830] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_3'}
[0.000842] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_4'}
[0.000877] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_5'}
[0.000891] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_6'}
[0.000903] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_7'}
[0.000915] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_8'}
[0.000927] (-) JobUnselected: {'identifier': 'ros2_control_demo_example_9'}
[0.000940] (-) JobUnselected: {'identifier': 'ros2_control_demo_testing'}
[0.000952] (-) JobUnselected: {'identifier': 'ros2_control_demos'}
[0.000964] (-) JobUnselected: {'identifier': 'ros2_control_test_assets'}
[0.000977] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.000989] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.001001] (-) JobUnselected: {'identifier': 'ros2controlcli'}
[0.001014] (-) JobUnselected: {'identifier': 'ros_gz'}
[0.001026] (-) JobUnselected: {'identifier': 'ros_gz_bridge'}
[0.001039] (-) JobUnselected: {'identifier': 'ros_gz_image'}
[0.001051] (-) JobUnselected: {'identifier': 'ros_gz_interfaces'}
[0.001063] (-) JobUnselected: {'identifier': 'ros_gz_sim'}
[0.001076] (-) JobUnselected: {'identifier': 'ros_gz_sim_demos'}
[0.001088] (-) JobUnselected: {'identifier': 'ros_ign'}
[0.001100] (-) JobUnselected: {'identifier': 'ros_ign_bridge'}
[0.001120] (-) JobUnselected: {'identifier': 'ros_ign_gazebo'}
[0.001133] (-) JobUnselected: {'identifier': 'ros_ign_gazebo_demos'}
[0.001145] (-) JobUnselected: {'identifier': 'ros_ign_image'}
[0.001158] (-) JobUnselected: {'identifier': 'ros_ign_interfaces'}
[0.001170] (-) JobUnselected: {'identifier': 'rqt_controller_manager'}
[0.001182] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.001194] (-) JobUnselected: {'identifier': 'serial'}
[0.001207] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.001219] (-) JobUnselected: {'identifier': 'test_ros_gz_bridge'}
[0.001231] (-) JobUnselected: {'identifier': 'transmission_interface'}
[0.001244] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.001256] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.001268] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.001283] (lab_quaternion) JobQueued: {'identifier': 'lab_quaternion', 'dependencies': OrderedDict()}
[0.001298] (lab_quaternion) JobStarted: {'identifier': 'lab_quaternion'}
[0.099322] (-) TimerEvent: {}
[0.199585] (-) TimerEvent: {}
[0.299863] (-) TimerEvent: {}
[0.400118] (-) TimerEvent: {}
[0.500370] (-) TimerEvent: {}
[0.600639] (-) TimerEvent: {}
[0.700897] (-) TimerEvent: {}
